Employee_ID,Rank,Name,Branch,Pool,Entry_type,8_yr_avg_eval,Appointment_history,Training_history,Promotion_history,promotion_status,DOB,current_appointment,appointed_since
200026,Lieutenant,Tuvok Korin,Tactical Systems,Near Earth,Graduate,70,"Div Officer ISS Nova (22 SEP 2014 - 22 MAR 2019), Instructor - Systems Design College / Post 1 (22 MAR 2019 -  )",Tactical Systems Specialization Course (22 MAR 2014 - 22 SEP 2014),"Lieutenant (jg)(22 MAR 2014 - 22 MAR 2019), Lieutenant(22 MAR 2019 -  )",0,10/10/1944,Instructor - Systems Design College / Post 1,22-Mar-19
200027,Lieutenant,Sel Orrel,Engineering,Deep Space,Cadet,72.12,"Div Officer RS Atlantis (25 MAR 2015 - 25 SEP 2019), Instructor - Warp Technology Institute / Post 1 (25 SEP 2019 -  )",Engineering Specialization Course (25 SEP 2014 - 25 MAR 2015),"Lieutenant (jg)(25 SEP 2014 - 25 SEP 2019), Lieutenant(25 SEP 2019 -  )",0,09/05/1934,Instructor - Warp Technology Institute / Post 1,25-Sep-19
200028,Lieutenant,Quell Lox,Tactical Systems,Deep Space,Cadet,73.57,"Div Officer USS Endeavour (08 OCT 2013 - 08 APR 2018), Instructor - Advanced Systems College / Post 1 (08 APR 2018 -  )",Tactical Systems Specialization Course (08 APR 2013 - 08 OCT 2013),"Lieutenant (jg)(08 APR 2013 - 08 APR 2018), Lieutenant(08 APR 2018 -  )",0,27/07/1932,Instructor - Advanced Systems College / Post 1,08-Apr-18
200029,Lieutenant,Soren Dax,Tactical Systems,Near Earth,Direct Enlist,70,"Asst Manager Planetary Repair Depot Two (23 FEB 2013 - 23 FEB 2018), Dy Manager Fleet Maintenance Wing Alpha / Post 1 (23 FEB 2018 -  )",,"Lieutenant (jg)(23 FEB 2013 - 23 FEB 2018), Lieutenant(23 FEB 2018 -  )",0,25/05/1940,Dy Manager Fleet Maintenance Wing Alpha / Post 1,23-Feb-18
200030,Lieutenant,Bren Hoss,Engineering,Near Earth,Cadet,73.21,"Div Officer SS Titan (08 MAR 2014 - 08 SEP 2018), Instructor - Starfleet Engineering Academy / Post 1 (08 SEP 2018 -  )",Engineering Specialization Course (08 SEP 2013 - 08 MAR 2014),"Lieutenant (jg)(08 SEP 2013 - 08 SEP 2018), Lieutenant(08 SEP 2018 -  )",0,23/07/1933,Instructor - Starfleet Engineering Academy / Post 1,08-Sep-18
200031,Lieutenant,Halan Hoss,Tactical Systems,Near Earth,Cadet,74.41,"Div Officer USS Intrepid (11 JUN 2017 - 11 DEC 2021), Instructor - Starfleet Hull School / Post 1 (11 DEC 2021 -  )",Tactical Systems Specialization Course (11 DEC 2016 - 11 JUN 2017),"Lieutenant (jg)(11 DEC 2016 - 11 DEC 2021), Lieutenant(11 DEC 2021 -  )",0,01/07/1940,Instructor - Starfleet Hull School / Post 1,11-Dec-21
200032,Lieutenant,Vera Neris,Engineering,Near Earth,Cadet,81.59,"Div Officer ISS Daedalus (09 SEP 2016 - 09 MAR 2021), Asst Manager Fleet Maintenance Wing Beta / Post 1 (09 MAR 2021 -  )",Engineering Specialization Course (09 MAR 2016 - 09 SEP 2016),"Lieutenant (jg)(09 MAR 2016 - 09 MAR 2021), Lieutenant(09 MAR 2021 -  )",0,09/11/1941,Asst Manager Fleet Maintenance Wing Beta / Post 1,09-Mar-21
200033,Lieutenant,Jorah Duran,Tactical Systems,Near Earth,Graduate,70.41,"Div Officer CS Meridian (02 AUG 2017 - 02 FEB 2022), Instructor - Fleet Technical Training Center / Post 1 (02 FEB 2022 -  )",Tactical Systems Specialization Course (02 FEB 2017 - 02 AUG 2017),"Lieutenant (jg)(02 FEB 2017 - 02 FEB 2022), Lieutenant(02 FEB 2022 -  )",0,04/02/1935,Instructor - Fleet Technical Training Center / Post 1,02-Feb-22
200034,Lieutenant,Sela Khan,Tactical Systems,Near Earth,Cadet,73.45,"Div Officer USS Intrepid (20 AUG 2014 - 20 FEB 2019), Instructor - Starfleet Science Academy / Post 1 (20 FEB 2019 -  )",Tactical Systems Specialization Course (20 FEB 2014 - 20 AUG 2014),"Lieutenant (jg)(20 FEB 2014 - 20 FEB 2019), Lieutenant(20 FEB 2019 -  )",1,26/01/1934,Instructor - Starfleet Science Academy / Post 1,20-Feb-19
200035,Lieutenant,Lirin Gant,Tactical Systems,Galactic,Cadet,78.95,"Div Officer SS Daedalus (22 OCT 2015 - 22 APR 2020), Staff Officer SFHQ - Resource Management / Post 1 (22 APR 2020 -  )",Tactical Systems Specialization Course (22 APR 2015 - 22 OCT 2015),"Lieutenant (jg)(22 APR 2015 - 22 APR 2020), Lieutenant(22 APR 2020 -  )",0,26/11/1939,Staff Officer SFHQ - Resource Management / Post 1,22-Apr-20
200036,Lieutenant,Bren Gant,Tactical Systems,Near Earth,Cadet,71.16,"Div Officer ISS Nova (06 NOV 2015 - 06 MAY 2020), Dy Manager Dockyard Complex Two / Post 1 (06 MAY 2020 -  )",Tactical Systems Specialization Course (06 MAY 2015 - 06 NOV 2015),"Lieutenant (jg)(06 MAY 2015 - 06 MAY 2020), Lieutenant(06 MAY 2020 -  )",0,13/06/1938,Dy Manager Dockyard Complex Two / Post 1,06-May-20
200037,Lieutenant,Soren Vant,Engineering,Galactic,Cadet,73.79,"Div Officer RS Gateway (20 NOV 2015 - 20 MAY 2020), Dy Manager Dockyard Complex One / Post 1 (20 MAY 2020 -  )",Engineering Specialization Course (20 MAY 2015 - 20 NOV 2015),"Lieutenant (jg)(20 MAY 2015 - 20 MAY 2020), Lieutenant(20 MAY 2020 -  )",0,20/11/1941,Dy Manager Dockyard Complex One / Post 1,20-May-20
200038,Lieutenant,Galen Lox,Engineering,Deep Space,Cadet,71.86,"Div Officer CS Pioneer (15 JUN 2015 - 15 DEC 2019), Staff Officer SFHQ - Strategic Planning / Post 1 (15 DEC 2019 -  )",Engineering Specialization Course (15 DEC 2014 - 15 JUN 2015),"Lieutenant (jg)(15 DEC 2014 - 15 DEC 2019), Lieutenant(15 DEC 2019 -  )",0,05/09/1936,Staff Officer SFHQ - Strategic Planning / Post 1,15-Dec-19
200039,Lieutenant,Keelan Hoss,Tactical Systems,Planetary Surface,Cadet,78.03,"Div Officer USS Aurora (08 MAY 2015 - 08 NOV 2019), Dy Manager Systems Maintenance Group Prime / Post 1 (08 NOV 2019 -  )",Tactical Systems Specialization Course (08 NOV 2014 - 08 MAY 2015),"Lieutenant (jg)(08 NOV 2014 - 08 NOV 2019), Lieutenant(08 NOV 2019 -  )",0,03/09/1933,Dy Manager Systems Maintenance Group Prime / Post 1,08-Nov-19
200040,Lieutenant,Keelan Vant,Engineering,Deep Space,Cadet,75.91,"Div Officer RS Prometheus (28 OCT 2014 - 28 APR 2019), Staff Officer SFHQ - Capability Planning / Post 1 (28 APR 2019 -  )",Engineering Specialization Course (28 APR 2014 - 28 OCT 2014),"Lieutenant (jg)(28 APR 2014 - 28 APR 2019), Lieutenant(28 APR 2019 -  )",1,26/11/1933,Staff Officer SFHQ - Capability Planning / Post 1,28-Apr-19
200041,Lieutenant,Kara Vant,Engineering,Deep Space,Cadet,70,"Div Officer USS Valiant (06 NOV 2014 - 06 MAY 2019), Asst Manager Systems Maintenance Group Sigma / Post 1 (06 MAY 2019 -  )",Engineering Specialization Course (06 MAY 2014 - 06 NOV 2014),"Lieutenant (jg)(06 MAY 2014 - 06 MAY 2019), Lieutenant(06 MAY 2019 -  )",0,08/11/1940,Asst Manager Systems Maintenance Group Sigma / Post 1,06-May-19
200042,Lieutenant,Phlox Eron,Tactical Systems,Galactic,Graduate,73.46,"Div Officer RS Daedalus (10 DEC 2016 - 10 JUN 2021), Instructor - Enlisted Technical School / Post 1 (10 JUN 2021 -  )",Tactical Systems Specialization Course (10 JUN 2016 - 10 DEC 2016),"Lieutenant (jg)(10 JUN 2016 - 10 JUN 2021), Lieutenant(10 JUN 2021 -  )",0,20/11/1930,Instructor - Enlisted Technical School / Post 1,10-Jun-21
200043,Lieutenant,Torin Merrin,Tactical Systems,Deep Space,Cadet,72.58,"Div Officer SS Nova (13 DEC 2016 - 13 JUN 2021), Asst Manager Planetary Repair Depot One / Post 1 (13 JUN 2021 -  )",Tactical Systems Specialization Course (13 JUN 2016 - 13 DEC 2016),"Lieutenant (jg)(13 JUN 2016 - 13 JUN 2021), Lieutenant(13 JUN 2021 -  )",0,20/04/1940,Asst Manager Planetary Repair Depot One / Post 1,13-Jun-21
200044,Lieutenant,Nyota Taran,Engineering,Deep Space,Cadet,76.2,"Div Officer USS Invictus (20 FEB 2015 - 20 AUG 2019), Dy Manager Fleet Maintenance Wing Beta / Post 1 (20 AUG 2019 -  )",Engineering Specialization Course (20 AUG 2014 - 20 FEB 2015),"Lieutenant (jg)(20 AUG 2014 - 20 AUG 2019), Lieutenant(20 AUG 2019 -  )",0,27/06/1934,Dy Manager Fleet Maintenance Wing Beta / Post 1,20-Aug-19
200045,Lieutenant,Halan Voss,Engineering,Planetary Surface,Cadet,70,"Div Officer CS Titan (26 SEP 2014 - 26 MAR 2019), Asst Manager Dockyard Complex One / Post 1 (26 MAR 2019 -  )",Engineering Specialization Course (26 MAR 2014 - 26 SEP 2014),"Lieutenant (jg)(26 MAR 2014 - 26 MAR 2019), Lieutenant(26 MAR 2019 -  )",0,28/07/1939,Asst Manager Dockyard Complex One / Post 1,26-Mar-19
200046,Lieutenant,Vera Janus,Tactical Systems,Planetary Surface,Cadet,74.49,"Div Officer RS Atlantis (21 FEB 2018 - 21 AUG 2022), Staff Officer SFHQ - Operations Analysis (21 AUG 2022 -  )",Tactical Systems Specialization Course (21 AUG 2017 - 21 FEB 2018),"Lieutenant (jg)(21 AUG 2017 - 21 AUG 2022), Lieutenant(21 AUG 2022 -  )",0,26/12/1939,Staff Officer SFHQ - Operations Analysis,21-Aug-22
200047,Lieutenant,T'Len Syl,Hull Systems,Near Earth,Cadet,70,"Staff Officer Field HQ - Hull Systems (24 MAR 2017 - 24 SEP 2021), Staff Officer SFHQ - Systems Integration / Post 1 (24 SEP 2021 -  )",Hull Systems Specialization Course (24 SEP 2016 - 24 MAR 2017),"Lieutenant (jg)(24 SEP 2016 - 24 SEP 2021), Lieutenant(24 SEP 2021 -  )",0,13/12/1935,Staff Officer SFHQ - Systems Integration / Post 1,24-Sep-21
200048,Lieutenant,Korr Janus,Engineering,Near Earth,Cadet,73.11,"Div Officer ISS Genesis (01 MAR 2018 - 01 SEP 2022), Asst Manager Hull Repair Yard Beta / Post 1 (01 SEP 2022 -  )",Engineering Specialization Course (01 SEP 2017 - 01 MAR 2018),"Lieutenant (jg)(01 SEP 2017 - 01 SEP 2022), Lieutenant(01 SEP 2022 -  )",1,03/02/1938,Asst Manager Hull Repair Yard Beta / Post 1,01-Sep-22
200049,Lieutenant,Lirin Lox,Tactical Systems,Near Earth,Graduate,73.06,"Div Officer USS Phoenix (22 FEB 2015 - 22 AUG 2019), Dy Manager Planetary Repair Depot One / Post 1 (22 AUG 2019 -  )",Tactical Systems Specialization Course (22 AUG 2014 - 22 FEB 2015),"Lieutenant (jg)(22 AUG 2014 - 22 AUG 2019), Lieutenant(22 AUG 2019 -  )",0,19/03/1934,Dy Manager Planetary Repair Depot One / Post 1,22-Aug-19
200050,Lieutenant,Zorin Quinn,Tactical Systems,Planetary Surface,Graduate,70,"Div Officer SS Genesis (01 APR 2014 - 01 OCT 2018), Dy Manager Hull Repair Yard Beta / Post 1 (01 OCT 2018 -  )",Tactical Systems Specialization Course (01 OCT 2013 - 01 APR 2014),"Lieutenant (jg)(01 OCT 2013 - 01 OCT 2018), Lieutenant(01 OCT 2018 -  )",0,19/03/1933,Dy Manager Hull Repair Yard Beta / Post 1,01-Oct-18
200051,Lieutenant Commander,Tuvok Marin,Engineering,Planetary Surface,Graduate,71.24,"Div Officer SS Horizon (12 JUL 2012 - 12 JAN 2017), Instructor - Enlisted Technical School (12 JAN 2017 - 12 JAN 2022), Head of Deptt USS Orion / Post 1 (12 APR 2022 -  )","Engineering Specialization Course (12 JAN 2012 - 12 JUL 2012), Head of Department Refresher Course (12 JAN 2022 - 12 APR 2022)","Lieutenant (jg)(12 JAN 2012 - 12 JAN 2017), Lieutenant(12 JAN 2017 - 12 JAN 2022), Lieutenant Commander(12 JAN 2022 -  )",0,12/10/1926,Head of Deptt USS Orion / Post 1,12-Apr-22
200052,Lieutenant Commander,Jorah Eron,Tactical Systems,Near Earth,Cadet,71.58,"Div Officer CS Atlantis (02 NOV 2009 - 02 MAY 2014), Instructor - Fleet Technical Training Center (02 MAY 2014 - 02 MAY 2019), Head of Deptt USS Phoenix / Post 1 (02 AUG 2019 -  )","Tactical Systems Specialization Course (02 MAY 2009 - 02 NOV 2009), Head of Department Refresher Course (02 MAY 2019 - 02 AUG 2019)","Lieutenant (jg)(02 MAY 2009 - 02 MAY 2014), Lieutenant(02 MAY 2014 - 02 MAY 2019), Lieutenant Commander(02 MAY 2019 -  )",0,09/11/1934,Head of Deptt USS Phoenix / Post 1,02-Aug-19
200053,Lieutenant Commander,T'Len Marin,Tactical Systems,Deep Space,Graduate,75.83,"Div Officer RS Meridian (16 FEB 2011 - 16 AUG 2015), Asst Manager Systems Maintenance Group Prime (16 AUG 2015 - 16 AUG 2020), Head of Deptt ISS Atlantis / Post 1 (16 NOV 2020 -  )","Tactical Systems Specialization Course (16 AUG 2010 - 16 FEB 2011), Head of Department Refresher Course (16 AUG 2020 - 16 NOV 2020)","Lieutenant (jg)(16 AUG 2010 - 16 AUG 2015), Lieutenant(16 AUG 2015 - 16 AUG 2020), Lieutenant Commander(16 AUG 2020 -  )",1,31/12/1929,Head of Deptt ISS Atlantis / Post 1,16-Nov-20
200054,Lieutenant Commander,Orin Bex,Engineering,Near Earth,Cadet,78.34,"Div Officer USS Tempest (10 JAN 2013 - 10 JUL 2017), Staff Officer SFHQ - Technical Policy (10 JUL 2017 - 10 JUL 2022), Head of Deptt ISS Titan / Post 1 (10 OCT 2022 -  )","Engineering Specialization Course (10 JUL 2012 - 10 JAN 2013), Head of Department Refresher Course (10 JUL 2022 - 10 OCT 2022)","Lieutenant (jg)(10 JUL 2012 - 10 JUL 2017), Lieutenant(10 JUL 2017 - 10 JUL 2022), Lieutenant Commander(10 JUL 2022 -  )",0,28/02/1927,Head of Deptt ISS Titan / Post 1,10-Oct-22
200055,Lieutenant Commander,Bren Lox,Engineering,Deep Space,Cadet,72.64,"Div Officer SS Horizon (12 FEB 2009 - 12 AUG 2013), Asst Manager Starbase Support Command Delta (12 AUG 2013 - 12 AUG 2018), Head of Deptt ISS Atlantis / Post 2 (12 NOV 2018 -  )","Engineering Specialization Course (12 AUG 2008 - 12 FEB 2009), Head of Department Refresher Course (12 AUG 2018 - 12 NOV 2018)","Lieutenant (jg)(12 AUG 2008 - 12 AUG 2013), Lieutenant(12 AUG 2013 - 12 AUG 2018), Lieutenant Commander(12 AUG 2018 -  )",0,28/01/1933,Head of Deptt ISS Atlantis / Post 2,12-Nov-18
200056,Lieutenant Commander,Marek Korin,Tactical Systems,Planetary Surface,Cadet,75.96,"Div Officer SS Atlantis (02 MAR 2012 - 02 SEP 2016), Instructor - Starfleet Hull School (02 SEP 2016 - 02 SEP 2021), Head of Deptt SS Nova / Post 1 (02 DEC 2021 -  )","Tactical Systems Specialization Course (02 SEP 2011 - 02 MAR 2012), Head of Department Refresher Course (02 SEP 2021 - 02 DEC 2021)","Lieutenant (jg)(02 SEP 2011 - 02 SEP 2016), Lieutenant(02 SEP 2016 - 02 SEP 2021), Lieutenant Commander(02 SEP 2021 -  )",0,18/09/1932,Head of Deptt SS Nova / Post 1,02-Dec-21
200057,Lieutenant Commander,Zorin Pax,Engineering,Deep Space,Cadet,72.14,"Div Officer USS Invictus (14 MAR 2009 - 14 SEP 2013), Staff Officer Field HQ - Engineering (14 SEP 2013 - 14 SEP 2016), Head of Deptt SS Nova / Post 2 (14 DEC 2018 -  )","Engineering Specialization Course (14 SEP 2008 - 14 MAR 2009), Masters in Starship Engineering (14 SEP 2016 - 14 SEP 2018), Head of Department Refresher Course (14 SEP 2018 - 14 DEC 2018)","Lieutenant (jg)(14 SEP 2008 - 14 SEP 2013), Lieutenant(14 SEP 2013 - 14 SEP 2018), Lieutenant Commander(14 SEP 2018 -  )",0,08/06/1932,Head of Deptt SS Nova / Post 2,14-Dec-18
200058,Lieutenant Commander,T'Len Gant,Engineering,Planetary Surface,Graduate,80.08,"Div Officer ISS Daedalus (27 JAN 2011 - 27 JUL 2015), Dy Manager Starbase Support Command Gamma (27 JUL 2015 - 27 JUL 2020), Head of Deptt CS Genesis / Post 1 (27 OCT 2020 -  )","Engineering Specialization Course (27 JUL 2010 - 27 JAN 2011), Head of Department Refresher Course (27 JUL 2020 - 27 OCT 2020)","Lieutenant (jg)(27 JUL 2010 - 27 JUL 2015), Lieutenant(27 JUL 2015 - 27 JUL 2020), Lieutenant Commander(27 JUL 2020 -  )",0,27/11/1929,Head of Deptt CS Genesis / Post 1,27-Oct-20
200059,Lieutenant Commander,Halan Hoss,Hull Systems,Planetary Surface,Cadet,75.38,"Asst Manager Hull Repair Yard Alpha (15 SEP 2011 - 15 MAR 2016), Dy Manager Starbase Support Command Delta (15 MAR 2016 - 15 MAR 2021), Staff Officer R&D - Hull Integrity / Post 1 (15 MAR 2021 -  )",Hull Systems Specialization Course (15 MAR 2011 - 15 SEP 2011),"Lieutenant (jg)(15 MAR 2011 - 15 MAR 2016), Lieutenant(15 MAR 2016 - 15 MAR 2021), Lieutenant Commander(15 MAR 2021 -  )",0,22/10/1931,Staff Officer R&D - Hull Integrity / Post 1,15-Mar-21
200060,Lieutenant Commander,Soren Riker,Tactical Systems,Deep Space,Cadet,70.21,"Div Officer ISS Meridian (08 JAN 2013 - 08 JUL 2017), Instructor - Warp Technology Institute (08 JUL 2017 - 08 JUL 2022), Head of Deptt SS Daedalus / Post 1 (08 OCT 2022 -  )","Tactical Systems Specialization Course (08 JUL 2012 - 08 JAN 2013), Head of Department Refresher Course (08 JUL 2022 - 08 OCT 2022)","Lieutenant (jg)(08 JUL 2012 - 08 JUL 2017), Lieutenant(08 JUL 2017 - 08 JUL 2022), Lieutenant Commander(08 JUL 2022 -  )",0,02/08/1931,Head of Deptt SS Daedalus / Post 1,08-Oct-22
200061,Lieutenant Commander,Korr Voss,Engineering,Deep Space,Cadet,82.21,"Div Officer CS Gateway (04 FEB 2012 - 04 AUG 2016), Dy Manager Fleet Maintenance Wing Beta (04 AUG 2016 - 04 AUG 2019), Head of Deptt SS Pioneer / Post 1 (04 NOV 2021 -  )","Engineering Specialization Course (04 AUG 2011 - 04 FEB 2012), Masters in Starship Engineering (04 AUG 2019 - 04 AUG 2021), Head of Department Refresher Course (04 AUG 2021 - 04 NOV 2021)","Lieutenant (jg)(04 AUG 2011 - 04 AUG 2016), Lieutenant(04 AUG 2016 - 04 AUG 2021), Lieutenant Commander(04 AUG 2021 -  )",0,10/10/1929,Head of Deptt SS Pioneer / Post 1,04-Nov-21
200062,Lieutenant Commander,Soren Lox,Engineering,Galactic,Graduate,70,"Div Officer SS Nova (05 OCT 2009 - 05 APR 2014), Staff Officer SFHQ - Systems Integration (05 APR 2014 - 05 APR 2019), Head of Deptt SS Gateway / Post 1 (05 JUL 2019 -  )","Engineering Specialization Course (05 APR 2009 - 05 OCT 2009), Head of Department Refresher Course (05 APR 2019 - 05 JUL 2019)","Lieutenant (jg)(05 APR 2009 - 05 APR 2014), Lieutenant(05 APR 2014 - 05 APR 2019), Lieutenant Commander(05 APR 2019 -  )",0,07/06/1939,Head of Deptt SS Gateway / Post 1,05-Jul-19
